Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
14,-22.7149,1,0.0151515,1.44266,19.4606,343.022,65
55,-32.0608,14,0.378378,3.06607,37.6944,739.646,36
14,0,0,0,0,0,0,0
91,-24.1617,10,0.114943,2.14461,23.6052,468.297,86
5,0,0,0,0,0,0,0
15,-21.3399,33,0.230769,3.09948,24.0548,556.852,142
14,0,0,0,0,0,0,0
27,-20.7983,15,0.142857,1.95101,20.6064,417.781,104
55,-20.1793,28,0.25,2.84846,23.0277,536.803,111
14,-50000,0,0,0,0,0,0
40,-21.8262,11,0.15493,2.22274,22.1475,468.201,70
99,-22.8605,23,0.205357,3.05188,25.0195,588.404,111
17,-33.1079,5,0.25,3.27105,36.3789,868.729,19
6,-24.3258,12,0.15,2.79953,25.1253,530.951,79
17,-21.8738,20,0.178571,2.8384,23.2836,497.325,111
15,-18.227,11,0.103774,2.76002,18.0624,415.423,105
91,-20.3272,16,0.144144,2.6679,20.878,465.516,110
90,0,0,0,0,0,0,0
40,-22.2173,13,0.160494,2.62253,23.0497,530.667,80
83,0,0,0,0,0,0,0
14,-18.4086,15,0.223881,2.79692,20.6832,479.005,66
15,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
30,-25.5147,23,0.18254,2.60502,26.7705,525.887,125
55,-17.311,38,0.348624,2.61264,21.8961,459.873,108
14,-23.5863,11,0.127907,1.58782,22.7323,424.492,85
99,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
14,-19.9653,7,0.125,2.81364,20.2789,448.538,55
91,-19.4928,24,0.230769,2.99589,22.1041,521.975,103
55,-21.1293,19,0.168142,3.12129,22.6135,543.678,112
17,0,0,0,0,0,0,0
14,-20.0197,20,0.188679,2.48239,21.2757,446.036,105
55,-21.261,10,0.178571,2.53929,22.3718,477.634,55
55,0,0,0,0,0,0,0
90,-18.7967,38,0.275362,3.21358,22.5175,519.056,137
30,-20.3592,8,0.0714286,2.21686,19.0047,447.122,111
17,-23.825,9,0.36,4.19833,30.2233,732.908,24
14,-20.5381,14,0.225806,2.66605,22.7203,552.015,61
30,-23.5722,12,0.109091,2.14237,22.8964,429.736,109
40,-21.5793,16,0.16,2.11374,21.893,431.587,99
6,0,0,0,0,0,0,0
55,-24.3361,18,0.233766,2.77085,26.7823,630.253,76
55,-22.8672,16,0.231884,2.70823,25.2131,557.344,68
27,-19.1968,14,0.164706,2.5895,20.0804,481.278,84
58,-19.422,16,0.213333,2.63946,21.3281,444.621,74
14,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
5,-25.8279,3,0.0309278,1.67118,23.1176,446.749,96
22,-21.5481,11,0.174603,2.93651,22.9767,572.206,62
22,-18.6972,24,0.20339,2.81037,20.5754,467.167,117
14,-31.689,10,0.131579,2.58614,31.9067,613.386,75
58,-27.9565,19,0.413043,3.87536,35.0928,855.889,45
58,-18.9194,32,0.248062,2.90752,21.7882,484.467,128
41,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
5,-18.2662,22,0.241758,3.00256,21.1039,504.067,90
14,-31.7294,15,0.163043,2.46799,32.4583,671.544,91
55,-18.8371,36,0.295082,3.29711,23.0359,518.312,121
21,0,0,0,0,0,0,0
46,-27.5244,19,0.188119,3.03654,29.3234,617.694,100
90,-20.2915,32,0.32,2.36677,24.0583,440.026,99
14,-22.448,12,0.2,2.59096,24.039,513.928,59
55,-21.5387,19,0.213483,2.60163,23.41,461.703,88
30,-19.3945,16,0.333333,3.6977,24.7589,577.655,47
22,-20.1607,17,0.283333,3.19915,24.0266,506.97,59
55,-20.3296,45,0.335821,3.35226,25.3983,584.674,133
58,0,0,0,0,0,0,0
6,-20.6783,31,0.248,2.82426,23.4625,503.829,124
90,-17.5047,15,0.384615,2.5641,22.7611,470.69,38
6,-25.4057,11,0.13253,2.69747,25.7537,597.662,82
14,-19.6236,24,0.275862,2.62871,22.7696,505.102,86
14,-19.6591,36,0.290323,2.29845,22.764,461.753,123
90,-24.0129,14,0.166667,2.6222,24.9684,556.874,83
15,-18.1416,34,0.354167,2.87127,23.0962,480.903,95
55,-24.0219,11,0.113402,2.3416,23.6315,530.25,96
90,-20.418,4,0.117647,2.12478,19.8957,394.275,33
55,0,0,0,0,0,0,0
41,-20.1354,24,0.1875,2.85402,21.7394,519.515,127
58,-20.4664,19,0.159664,1.97742,20.6371,393.078,118
30,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
91,-25.973,12,0.193548,2.47382,27.3178,615.588,61
91,-19.7516,27,0.284211,2.94535,23.3812,493.1,94
55,-21.3014,20,0.212766,2.74891,23.3056,482.038,93
6,0,0,0,0,0,0,0
41,-25.5174,4,0.0869565,2.4628,24.7193,512.47,45
99,0,0,0,0,0,0,0
14,-25.746,4,0.142857,2.30291,25.9061,495.747,27
30,-23.8537,29,0.221374,2.60799,25.8891,539.856,130
14,-26.9148,30,0.326087,3.45497,31.8915,755.354,91
72,-18.8478,24,0.282353,2.96008,22.4549,515.868,84
14,-25.5989,1,0.0714286,2.96154,24.989,515.78,13
30,-20.6201,14,0.2,3.10683,22.7269,521.552,69
90,-21.7478,15,0.166667,2.80612,22.8873,507.857,89
5,-28.9769,13,0.175676,2.54461,30.035,617.158,73
5,-23.0087,9,0.121622,2.32895,22.7701,456.279,73
6,-17.6714,39,0.327731,3.0386,22.2646,476.566,118
