Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,4
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
82,0,0,0,0,0,0,0
58,-50.6777,7,0.142857,2.1773,50.7122,953.272,48
9,-33.1384,13,0.183099,2.66942,34.4698,720.874,70
82,-38.7718,30,0.267857,2.97788,42.1068,896.809,111
9,-42.8165,20,0.263158,2.75263,45.8323,927.501,75
24,0,0,0,0,0,0,0
52,-41.735,21,0.259259,2.68457,44.6048,883.149,80
81,-42.0942,25,0.233645,2.80206,44.5692,966.601,106
5,-54.6249,8,0.170213,2.15217,55.1813,963.607,46
30,-42.4358,24,0.296296,2.6696,46.0313,859.626,80
52,0,0,0,0,0,0,0
51,-35.0069,12,0.210526,2.78885,37.0063,796.047,56
40,-36.8239,22,0.25,2.82197,39.6459,871.161,87
55,0,0,0,0,0,0,0
58,-48.8786,7,0.134615,2.41101,48.9819,975.514,51
9,-45.0381,17,0.223684,2.77053,47.2823,1030.72,75
25,0,0,0,0,0,0,0
9,-47.0977,14,0.17284,2.63719,48.1917,943.135,80
38,-36.047,11,0.229167,2.72651,38.3568,886.083,47
89,-35.8215,24,0.222222,2.65585,37.9218,796.258,107
27,0,0,0,0,0,0,0
35,-42.2108,8,0.1,2.25237,41.4631,897.903,79
40,-37.1094,14,0.164706,2.71303,38.1165,724.529,84
27,-34.1661,10,0.232558,2.69103,36.5083,822.219,42
27,-53.7534,18,0.157895,2.40801,54.3193,1159.89,113
81,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
81,-37.4217,29,0.266055,2.82577,40.5686,824.327,108
22,0,0,0,0,0,0,0
81,-48.3982,12,0.230769,2.69532,50.7089,1068.42,51
9,0,0,0,0,0,0,0
72,-50.7951,10,0.2,2.74939,52.5445,1186.2,49
58,-36.323,30,0.294118,2.96748,40.1729,857.029,101
16,0,0,0,0,0,0,0
27,-47.5079,18,0.209302,2.58865,49.2826,957.586,85
83,-38.2075,24,0.269663,3.03524,41.636,913.412,88
58,-35.3993,24,0.272727,2.96656,38.8204,858.944,87
14,-44.0603,17,0.191011,2.72715,45.6076,941.285,88
24,-45.8642,15,0.194805,2.35988,47.1201,1070.96,76
32,-43.9859,16,0.172043,2.81393,45.2406,913.253,92
43,-41.6407,27,0.226891,2.8701,44.0486,818.118,118
48,0,0,0,0,0,0,0
2,-37.6453,17,0.173469,2.32569,38.4404,746.315,97
32,-37.4328,21,0.272727,2.90995,40.7973,902.438,76
22,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
88,-35.872,17,0.220779,2.66746,37.955,780.288,76
9,-40.6295,14,0.205882,2.61172,42.3589,903.923,67
89,-34.8751,22,0.289474,2.64193,38.3065,813.876,75
52,-33.3468,19,0.218391,2.69701,35.4117,776.102,86
22,-39.5729,23,0.205357,2.50354,41.1836,824.782,111
22,0,0,0,0,0,0,0
30,-45.8649,22,0.222222,2.46475,47.7741,1010.21,98
33,-34.8115,17,0.25,2.40123,37.2127,751.627,67
27,-43.1295,21,0.179487,2.57597,44.2952,934.938,116
72,-40.2884,20,0.2,2.61747,41.9059,869.551,99
72,-37.7342,8,0.153846,2.63575,38.4468,819.691,51
49,-42.636,6,0.146341,2.87317,43.436,925.513,40
32,-37.2012,20,0.178571,2.56338,38.336,818.944,111
75,-48.6604,19,0.17757,2.49127,49.7031,995.194,106
26,-37.3651,20,0.185185,2.54569,38.6145,791.127,107
24,-41.872,29,0.235772,2.83493,44.4224,967.304,122
24,-34.1605,15,0.2,2.7027,35.8632,796.979,74
9,-42.4782,5,0.151515,2.4053,42.9138,891.952,32
71,-34,24,0.208696,2.76827,35.9422,749.377,114
69,0,0,0,0,0,0,0
23,-36.1254,20,0.224719,2.45799,38.0778,779.198,88
89,-36.1042,17,0.171717,2.43311,36.9717,785.371,98
24,-39.1181,17,0.204819,2.80121,41.0157,933.964,82
16,-42.967,14,0.202899,2.78303,44.808,1090.85,68
9,-33.0837,17,0.220779,2.90413,35.4035,783.953,76
32,-46.1909,15,0.166667,2.46779,46.992,976.118,89
93,-46.6922,26,0.268041,3.02234,50.0754,1035.19,96
16,-35.4901,13,0.119266,2.43187,35.3073,774.356,108
75,-47.3775,18,0.181818,2.56463,48.5785,949.511,98
24,-39.3512,14,0.254545,2.51549,41.9576,814.182,54
39,-47.7234,12,0.171429,2.66356,48.8155,873.552,69
9,0,0,0,0,0,0,0
48,-34.6249,22,0.23913,2.72969,37.1372,780.767,91
72,-34.2429,21,0.253012,2.92962,37.2327,857.983,82
26,-33.797,17,0.188889,2.32871,34.9035,740.837,89
26,0,0,0,0,0,0,0
43,-37.6124,9,0.191489,2.28076,38.7229,811.213,46
9,0,0,0,0,0,0,0
81,-33.5471,15,0.227273,2.56107,35.6536,730.477,65
39,-34.5627,26,0.245283,2.70449,37.1729,793.381,105
11,-38.322,28,0.333333,2.72547,42.7141,902.393,83
32,-43.6124,22,0.22,2.68444,45.6969,956.484,99
17,-40.7887,22,0.252874,2.45269,43.2989,830.852,86
93,0,0,0,0,0,0,0
83,-39.0842,17,0.257576,2.59347,41.8291,955.449,65
32,-44.0409,17,0.236111,2.85192,46.615,1045.43,71
93,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
49,-40.9699,22,0.178862,2.56544,42.1126,885.588,122
94,0,0,0,0,0,0,0
11,-37.6636,17,0.309091,2.92458,41.77,899.667,54
26,0,0,0,0,0,0,0
71,-41.6945,17,0.253731,2.72275,44.4919,925.942,66
