Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
50,20,500,42,1000,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
2,-44.4741,11,0.148649,2.44465,44.8917,921.299,73
15,-44.0629,8,0.163265,2.31037,44.6386,1034.91,48
9,-48.5043,11,0.268293,2.46585,51.336,1156.84,40
27,-40.1538,9,0.230769,2.27598,42.0452,956.715,38
5,-35.3268,6,0.146341,2.45549,35.7091,814.626,40
46,-37.5631,9,0.176471,2.42314,38.5157,853.358,50
14,0,0,0,0,0,0,0
9,-48.8655,10,0.147059,2.70939,49.516,998.755,67
45,-34.5338,10,0.222222,2.5298,36.5081,782.074,44
29,0,0,0,0,0,0,0
11,-45.704,7,0.194444,2.17619,46.769,1001.32,35
6,-38.7427,11,0.261905,2.9396,41.9204,1057.47,41
37,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
36,-46.2233,0,0,1.805,43.0283,777.435,24
41,-44.7912,8,0.186047,2.65338,46.1656,952.706,42
10,-37.5248,7,0.159091,2.38531,38.092,718.939,43
8,-70.3554,2,0.0769231,1.47538,68.3692,998.54,25
3,-43.8343,14,0.254545,2.69293,46.6182,941.75,54
20,-43.4967,2,0.111111,2.14052,42.8595,901.51,17
13,-45.0121,5,0.128205,2.59447,45.1707,976.101,38
33,-43.5652,3,0.0731707,2.29878,42.3274,829.066,40
32,-38.5518,15,0.340909,2.67178,43.0418,976.22,43
43,-38.6531,11,0.22,2.83959,40.8927,957.673,49
40,0,0,0,0,0,0,0
48,-36.8776,5,0.125,2.61987,36.9974,929.061,39
6,-39.8869,5,0.0909091,2.32424,39.0293,838.547,54
18,-33.8054,22,0.318841,2.89599,38.0782,818.089,68
1,-44.8641,9,0.18,2.50571,45.9698,997.965,49
6,0,0,0,0,0,0,0
6,-37.9031,17,0.209877,2.38827,39.4889,831.908,80
22,-49.608,6,0.2,2.48966,51.0977,1054.46,29
42,-37.2527,9,0.195652,2.67681,38.8425,852.167,45
14,-32.3178,12,0.173913,2.43265,33.2287,677.18,68
44,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
23,-40.6365,11,0.275,2.89423,44.0308,927.313,39
23,-32.2388,19,0.296875,2.93304,36.1094,763.122,63
12,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
21,-33.4087,1,0.0357143,1.48148,30.6045,456.16,27
25,-31.7182,29,0.467742,3.2385,39.3115,834.272,61
20,-32.5278,14,0.28,2.87959,36.0073,826.223,49
31,-41.1733,9,0.209302,2.49502,42.8544,947.208,42
40,-68.2143,0,0,1.28571,64.5,937.321,7
18,0,0,0,0,0,0,0
18,-45.4364,2,0.181818,3.07273,47.1455,964.127,10
17,-48.8631,8,0.307692,2.48923,52.5061,1010.87,25
28,-69.0454,3,0.136364,2.13853,68.9112,1494.01,21
