Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
92,-26.3543,8,0.195122,2.76951,28.0262,662.457,40
92,-19.3525,22,0.297297,3.39189,23.6903,554.748,73
92,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
43,-24.5938,5,0.0581395,1.72148,22.4781,441.933,85
38,-23.7004,2,0.0512821,2.56343,22.2895,590.754,38
14,-18.8398,13,0.117117,2.2439,18.426,395.777,110
83,-23.0904,13,0.151163,2.24829,23.362,494.077,85
92,0,0,0,0,0,0,0
76,-21.227,26,0.230089,2.55563,23.3844,525.964,112
92,-27.9904,20,0.224719,2.79737,30.2822,637.939,88
58,-19.1006,24,0.244898,2.49874,21.4973,458.198,97
90,-21.2347,22,0.15493,2.43462,21.7679,540.457,141
22,0,0,0,0,0,0,0
34,-27.4289,6,0.0722892,2.27299,26.1477,519.845,82
91,-18.9244,6,0.146341,2.52805,19.3793,396.824,40
46,-31.7388,15,0.241935,3.17081,34.7483,756.339,61
90,0,0,0,0,0,0,0
83,-20.4951,36,0.324324,2.97961,24.9612,559.451,110
58,-22.208,28,0.264151,2.85544,25.3464,542.539,105
72,-21.4709,7,0.0744681,1.62263,19.5829,393.807,93
35,-20.1937,20,0.147059,2.30975,20.4447,453.597,135
30,-20.1588,15,0.168539,2.4022,20.9318,504.888,88
55,-23.1559,32,0.359551,3.14287,28.4898,613.229,88
22,-28.3056,8,0.0888889,2.27715,27.3606,563.363,89
6,-23.15,6,0.0833333,2.37969,22.1964,489.406,71
17,-30.0434,6,0.125,2.48936,30.0328,560.06,47
72,-20.5688,6,0.193548,1.94301,21.3828,411.546,30
90,-28.0484,24,0.275862,2.73015,31.2958,662.665,86
76,-19.2926,16,0.135593,1.83985,18.8443,359.117,117
14,0,0,0,0,0,0,0
14,-31.4643,9,0.160714,2.34578,32.0243,655.418,55
41,-20.6332,17,0.261538,3.09495,23.9589,562.257,64
17,0,0,0,0,0,0,0
26,-24.0403,18,0.339623,3.23803,29.0708,617.321,52
39,-24.4343,19,0.188119,2.62881,25.8254,574.716,100
41,-19.4284,28,0.318182,3.06805,23.8601,538.727,87
27,-54.7619,2,0.285714,2.59524,58.0714,1129.83,6
24,-24.4184,6,0.117647,1.99333,23.7647,487.544,50
27,-29.9353,26,0.302326,3.2435,34.2253,791.769,85
17,-21.6638,14,0.191781,2.64136,23.1408,505.158,72
40,0,0,0,0,0,0,0
91,-18.4517,28,0.378378,2.87079,23.89,495.731,73
88,-31.2951,11,0.146667,2.61315,31.8416,682.462,74
55,0,0,0,0,0,0,0
71,-20.9487,18,0.152542,2.06207,21.0616,422.629,117
58,-25.9794,15,0.140187,2.33451,26.1176,613.353,106
17,-24.8068,22,0.234043,3.1208,27.6084,617.964,93
5,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
58,-25.5582,25,0.25,2.74889,28.3071,633.356,99
22,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
40,-26.9932,9,0.123288,2.23535,26.6943,552.652,72
83,-31.1563,10,0.15625,2.76935,32.0506,711.76,63
40,-25.3638,18,0.181818,2.51402,26.5142,580.427,98
5,-20.7353,29,0.252174,2.91999,23.6988,571.799,114
91,-27.0321,7,0.0972222,2.50196,26.4785,559.832,71
90,-23.4279,22,0.176,2.52129,24.4692,540.38,124
89,-18.5378,15,0.189873,2.6149,19.9502,496.647,78
39,-18.9503,18,0.295082,3.25519,23.1071,605.837,60
91,0,0,0,0,0,0,0
34,-19.1808,28,0.282828,2.3826,22.22,473.659,98
32,-23.9241,9,0.155172,2.59498,24.6225,510.859,57
55,-21.5904,7,0.116667,2.52062,21.4443,452.544,59
22,-26.271,20,0.229885,2.58941,28.4582,614.413,86
81,-26.7067,10,0.227273,2.97727,29.2294,693.818,43
88,-31.845,11,0.169231,2.57187,32.8014,687.154,64
9,0,0,0,0,0,0,0
26,-18.296,13,0.25,2.05656,20.3526,391.324,51
92,0,0,0,0,0,0,0
99,-21.192,15,0.241935,3.06214,24.0928,616.007,61
32,-21.8595,8,0.105263,2.09667,21.0614,430.731,75
55,-23.6943,2,0.0666667,1.65057,21.6782,395.633,29
33,-21.4412,27,0.225,2.54251,23.4838,504.402,119
89,-18.538,30,0.220588,2.06313,20.0129,401.241,135
72,-26.7029,11,0.152778,2.39495,27.1534,550.337,71
24,-23.0831,13,0.115044,1.81574,22.1997,441.263,112
14,-20.9222,23,0.261364,2.44227,23.5917,478.234,87
5,-19.9622,15,0.189873,2.59055,21.3502,469.176,78
22,-19.1107,7,0.179487,2.69096,20.3914,548.676,38
15,0,0,0,0,0,0,0
30,-23.3755,22,0.203704,3.00407,25.4536,554.963,107
32,-24.8085,25,0.208333,2.3813,26.3565,520.338,119
9,0,0,0,0,0,0,0
58,-18.8023,39,0.317073,3.13335,23.2771,537.772,122
22,0,0,0,0,0,0,0
40,-22.8347,17,0.17,2.31636,23.551,501.059,99
83,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
6,-30.7628,12,0.3,1.65769,33.4205,687.085,39
83,-27.9561,6,0.125,2.48582,27.9419,601.247,47
35,-29.6807,17,0.2125,2.46582,31.3965,632.985,79
55,0,0,0,0,0,0,0
83,-25.8548,15,0.157895,2.65028,26.6629,582.997,94
58,0,0,0,0,0,0,0
9,-17.594,27,0.296703,2.95971,21.4878,503.826,90
15,0,0,0,0,0,0,0
33,-17.749,18,0.191489,1.73095,18.3098,361.683,93
